,word,english,spanish,link
0,The,,,https://www.online-translator.com/contexts/english-spanish/The
1,The,,,https://www.online-translator.com/contexts/english-spanish/The
2,The,,,https://www.online-translator.com/contexts/english-spanish/The
3,The,,,https://www.online-translator.com/contexts/english-spanish/The
4,The,,,https://www.online-translator.com/contexts/english-spanish/The
5,neocortex,,,https://www.online-translator.com/contexts/english-spanish/neocortex
6,neocortex,,,https://www.online-translator.com/contexts/english-spanish/neocortex
7,neocortex,,,https://www.online-translator.com/contexts/english-spanish/neocortex
8,neocortex,,,https://www.online-translator.com/contexts/english-spanish/neocortex
9,neocortex,,,https://www.online-translator.com/contexts/english-spanish/neocortex
10,comprises,water [comprises] of oxygen and hydrogen.,El agua está formada por oxígeno e hidrógeno.,https://www.online-translator.com/contexts/english-spanish/comprises
11,comprises,her library [comprises] 3500 and includes many first editions.,Su biblioteca se compone de 3500 ejemplares e incluye muchas primeras ediciones.,https://www.online-translator.com/contexts/english-spanish/comprises
12,comprises,"the united kingdom [comprises] of england, scotland, wales, and northern ireland.","El Reino Unido está compuesto por Inglaterra, Escocia, Gales e Irlanda del Norte.",https://www.online-translator.com/contexts/english-spanish/comprises
13,comprises,,,https://www.online-translator.com/contexts/english-spanish/comprises
14,comprises,,,https://www.online-translator.com/contexts/english-spanish/comprises
